,certifications,workshops,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,worked in teams ever?,Suggested Job Role
6337,information security,database security,excellent,hacking,system developer,Product based,no,Web Developer
6338,app development,web technologies,poor,data engineering,Business process analyst,Web Services,no,Web Developer
6339,information security,data science,medium,cloud computing,Business process analyst,Finance,yes,Web Developer
6340,machine learning,data science,poor,IOT,testing,BPA,yes,Web Developer
6341,information security,hacking,poor,data engineering,security,Finance,no,Web Developer
6342,app development,hacking,excellent,Computer Architecture,cloud computing,Web Services,no,Web Developer
6343,full stack,testing,poor,data engineering,Business process analyst,Cloud Services,no,Web Developer
6344,distro making,hacking,medium,Computer Architecture,system developer,BPA,yes,Web Developer
6345,python,system designing,excellent,data engineering,security,Web Services,no,Web Developer
6346,r programming,database security,excellent,parallel computing,cloud computing,SAaS services,no,Web Developer
6347,information security,testing,medium,Computer Architecture,Business process analyst,Sales and Marketing,yes,Web Developer
6348,information security,hacking,poor,IOT,Business process analyst,Finance,no,Web Developer
6349,machine learning,hacking,medium,Software Engineering,system developer,Testing and Maintainance Services,no,Web Developer
6350,machine learning,hacking,poor,Software Engineering,security,Product based,no,Web Developer
6351,machine learning,cloud computing,excellent,Software Engineering,system developer,SAaS services,yes,Web Developer
6352,distro making,data science,medium,IOT,Business process analyst,Cloud Services,no,Web Developer
6353,hadoop,testing,medium,data engineering,Business process analyst,SAaS services,no,Web Developer
6354,full stack,hacking,medium,Computer Architecture,Business process analyst,Testing and Maintainance Services,yes,Web Developer
6355,shell programming,data science,excellent,programming,cloud computing,Product based,no,Web Developer
6356,app development,web technologies,excellent,hacking,system developer,Service Based,yes,Web Developer
6357,shell programming,testing,medium,Software Engineering,cloud computing,Testing and Maintainance Services,no,Web Developer
6358,hadoop,testing,excellent,Software Engineering,security,Testing and Maintainance Services,no,Web Developer
6359,full stack,cloud computing,medium,parallel computing,Business process analyst,BPA,yes,Web Developer
6360,full stack,system designing,excellent,Management,developer,product development,yes,Web Developer
6361,information security,data science,poor,IOT,testing,SAaS services,yes,Web Developer
6362,machine learning,system designing,medium,IOT,cloud computing,Web Services,yes,Web Developer
6363,information security,database security,excellent,programming,testing,Sales and Marketing,yes,Web Developer
6364,information security,data science,medium,networks,testing,BPA,no,Web Developer
6365,r programming,data science,medium,data engineering,cloud computing,BPA,no,Web Developer
6366,app development,cloud computing,excellent,parallel computing,Business process analyst,Product based,yes,Web Developer
6367,information security,web technologies,excellent,programming,cloud computing,Cloud Services,no,Web Developer
6368,r programming,data science,excellent,Software Engineering,cloud computing,Testing and Maintainance Services,no,Web Developer
6369,full stack,testing,medium,cloud computing,security,Finance,yes,Web Developer
6370,full stack,hacking,medium,cloud computing,system developer,Testing and Maintainance Services,no,Web Developer
6371,full stack,testing,medium,Computer Architecture,Business process analyst,Testing and Maintainance Services,no,Web Developer
6372,python,game development,medium,hacking,system developer,Testing and Maintainance Services,yes,Web Developer
6373,distro making,database security,medium,IOT,cloud computing,BPA,yes,Web Developer
6374,full stack,cloud computing,poor,Management,system developer,Cloud Services,yes,Web Developer
6375,shell programming,hacking,poor,networks,testing,SAaS services,no,Web Developer
6376,r programming,web technologies,poor,Software Engineering,developer,Testing and Maintainance Services,no,Web Developer
6377,r programming,data science,medium,cloud computing,developer,Cloud Services,yes,Web Developer
6378,distro making,data science,poor,hacking,developer,Web Services,yes,Web Developer
6379,full stack,system designing,poor,programming,security,Product based,no,Web Developer
6380,app development,system designing,poor,programming,system developer,BPA,no,Web Developer
6381,app development,web technologies,medium,hacking,testing,Cloud Services,yes,Web Developer
6382,r programming,game development,excellent,hacking,system developer,Finance,no,Web Developer
6383,r programming,system designing,poor,programming,system developer,Cloud Services,yes,Web Developer
6384,full stack,game development,poor,programming,system developer,BPA,yes,Web Developer
6385,r programming,cloud computing,medium,Software Engineering,system developer,Cloud Services,yes,Web Developer
6386,python,system designing,poor,Management,Business process analyst,SAaS services,yes,Web Developer
6387,hadoop,cloud computing,medium,parallel computing,testing,product development,no,Web Developer
6388,full stack,game development,medium,networks,system developer,SAaS services,no,Web Developer
6389,distro making,game development,medium,data engineering,Business process analyst,Service Based,no,Web Developer
6390,shell programming,hacking,medium,data engineering,cloud computing,Finance,yes,Web Developer
6391,machine learning,game development,excellent,parallel computing,developer,product development,yes,Web Developer
6392,app development,database security,poor,programming,testing,Cloud Services,yes,Web Developer
6393,information security,web technologies,medium,data engineering,system developer,SAaS services,yes,Web Developer
6394,hadoop,data science,excellent,data engineering,cloud computing,Product based,yes,Web Developer
6395,hadoop,database security,medium,Management,cloud computing,product development,no,Web Developer
6396,distro making,database security,poor,hacking,cloud computing,Finance,yes,Web Developer
6397,shell programming,cloud computing,medium,Software Engineering,testing,product development,yes,Web Developer
6398,shell programming,testing,excellent,data engineering,security,Testing and Maintainance Services,no,Web Developer
6399,python,database security,medium,Computer Architecture,Business process analyst,product development,yes,Web Developer
6400,r programming,hacking,poor,networks,system developer,Testing and Maintainance Services,no,Web Developer
6401,python,database security,medium,Software Engineering,security,BPA,yes,Web Developer
6402,information security,hacking,excellent,hacking,security,Service Based,yes,Web Developer
6403,full stack,data science,excellent,hacking,developer,Finance,yes,Web Developer
6404,shell programming,testing,excellent,Computer Architecture,cloud computing,Product based,yes,Web Developer
6405,distro making,cloud computing,poor,programming,testing,BPA,no,Web Developer
6406,distro making,game development,excellent,hacking,system developer,Testing and Maintainance Services,yes,Web Developer
6407,full stack,system designing,medium,cloud computing,developer,BPA,yes,Web Developer
6408,distro making,data science,poor,Software Engineering,system developer,Finance,no,Web Developer
6409,distro making,system designing,poor,Management,testing,Product based,no,Web Developer
6410,python,cloud computing,poor,IOT,Business process analyst,Cloud Services,yes,Web Developer
6411,distro making,data science,poor,cloud computing,security,SAaS services,yes,Web Developer
6412,distro making,system designing,medium,parallel computing,developer,Testing and Maintainance Services,yes,Web Developer
6413,python,testing,excellent,Software Engineering,testing,Service Based,yes,Web Developer
6414,hadoop,hacking,excellent,hacking,security,Service Based,yes,Web Developer
6415,hadoop,database security,medium,parallel computing,Business process analyst,Finance,yes,Web Developer
6416,full stack,web technologies,poor,parallel computing,cloud computing,Cloud Services,yes,Web Developer
6417,app development,testing,excellent,Computer Architecture,testing,BPA,yes,Web Developer
6418,information security,database security,medium,Management,developer,SAaS services,no,Web Developer
6419,shell programming,data science,excellent,programming,testing,Product based,no,Web Developer
6420,machine learning,database security,poor,networks,developer,SAaS services,yes,Web Developer
6421,app development,game development,excellent,Software Engineering,developer,Service Based,no,Web Developer
6422,r programming,testing,poor,parallel computing,system developer,BPA,yes,Web Developer
6423,app development,testing,poor,Software Engineering,testing,BPA,yes,Web Developer
6424,information security,web technologies,excellent,parallel computing,testing,Service Based,no,Web Developer
6425,distro making,system designing,poor,data engineering,testing,Sales and Marketing,yes,Web Developer
6426,hadoop,hacking,poor,programming,security,Web Services,yes,Web Developer
6427,r programming,game development,poor,hacking,security,Product based,yes,Web Developer
6428,r programming,hacking,poor,Management,Business process analyst,product development,no,Web Developer
6429,python,system designing,poor,hacking,security,SAaS services,yes,Web Developer
6430,full stack,hacking,poor,programming,system developer,Finance,no,Web Developer
6431,machine learning,hacking,excellent,Software Engineering,developer,Web Services,yes,Web Developer
6432,information security,data science,poor,IOT,system developer,SAaS services,yes,Web Developer
6433,information security,data science,excellent,IOT,developer,Product based,no,Web Developer
6434,full stack,system designing,poor,cloud computing,developer,product development,no,Web Developer
6435,machine learning,game development,poor,Software Engineering,Business process analyst,Product based,yes,Web Developer
6436,app development,testing,excellent,data engineering,Business process analyst,BPA,no,Web Developer
6437,app development,system designing,excellent,parallel computing,testing,Testing and Maintainance Services,no,Web Developer
6438,information security,data science,poor,parallel computing,system developer,SAaS services,no,Web Developer
6439,machine learning,web technologies,medium,Management,security,Service Based,yes,Web Developer
6440,distro making,system designing,medium,networks,Business process analyst,BPA,no,Web Developer
6441,shell programming,cloud computing,poor,Management,security,SAaS services,yes,Web Developer
6442,hadoop,system designing,poor,Management,testing,SAaS services,yes,Web Developer
6443,shell programming,data science,medium,networks,testing,Finance,yes,Web Developer
6444,machine learning,hacking,poor,networks,developer,BPA,no,Web Developer
6445,full stack,web technologies,excellent,Computer Architecture,cloud computing,Testing and Maintainance Services,no,Web Developer
6446,full stack,hacking,poor,parallel computing,developer,Product based,no,Web Developer
6447,information security,cloud computing,poor,Software Engineering,security,Finance,yes,Web Developer
6448,machine learning,web technologies,medium,cloud computing,system developer,product development,yes,Web Developer
6449,distro making,cloud computing,excellent,Computer Architecture,system developer,SAaS services,no,Web Developer
6450,hadoop,database security,medium,parallel computing,developer,Web Services,yes,Web Developer
6451,python,web technologies,poor,programming,developer,Product based,yes,Web Developer
6452,python,testing,poor,programming,developer,SAaS services,no,Web Developer
6453,hadoop,game development,poor,networks,cloud computing,Product based,no,Web Developer
6454,full stack,testing,excellent,hacking,system developer,Finance,yes,Web Developer
6455,hadoop,hacking,medium,IOT,testing,Sales and Marketing,no,Web Developer
6456,machine learning,data science,medium,networks,developer,Product based,no,Web Developer
6457,app development,data science,medium,parallel computing,cloud computing,Service Based,yes,Web Developer
6458,shell programming,database security,excellent,Management,testing,Web Services,yes,Web Developer
6459,full stack,testing,excellent,hacking,testing,Testing and Maintainance Services,yes,Web Developer
6460,information security,web technologies,poor,hacking,developer,Web Services,yes,Web Developer
6461,shell programming,database security,excellent,programming,security,Sales and Marketing,no,Web Developer
6462,r programming,web technologies,poor,cloud computing,cloud computing,Web Services,no,Web Developer
6463,information security,hacking,poor,parallel computing,cloud computing,Web Services,yes,Web Developer
6464,information security,system designing,poor,programming,security,BPA,no,Web Developer
6465,information security,system designing,medium,Software Engineering,developer,Web Services,no,Web Developer
6466,r programming,web technologies,poor,cloud computing,testing,product development,no,Web Developer
6467,distro making,game development,medium,Software Engineering,security,SAaS services,no,Web Developer
6468,shell programming,cloud computing,excellent,hacking,cloud computing,Product based,no,Web Developer
6469,machine learning,hacking,excellent,networks,cloud computing,Service Based,yes,Web Developer
6470,hadoop,game development,excellent,parallel computing,system developer,Cloud Services,yes,Web Developer
6471,distro making,database security,medium,Management,system developer,Web Services,no,Web Developer
6472,shell programming,testing,medium,data engineering,security,Finance,yes,Web Developer
6473,r programming,game development,excellent,cloud computing,testing,Product based,no,Web Developer
6474,r programming,database security,medium,Management,developer,Product based,no,Web Developer
6475,app development,data science,poor,cloud computing,system developer,Testing and Maintainance Services,yes,Web Developer
6476,information security,data science,medium,Computer Architecture,developer,Product based,yes,Web Developer
6477,app development,data science,poor,Management,testing,Finance,no,Web Developer
6478,machine learning,hacking,excellent,networks,cloud computing,Cloud Services,yes,Web Developer
6479,machine learning,hacking,excellent,Computer Architecture,Business process analyst,Finance,yes,Web Developer
6480,shell programming,data science,poor,parallel computing,developer,BPA,yes,Web Developer
6481,distro making,game development,excellent,Management,security,product development,no,Web Developer
6482,hadoop,cloud computing,excellent,networks,Business process analyst,Web Services,no,Web Developer
6483,r programming,testing,excellent,hacking,Business process analyst,Finance,no,Web Developer
6484,r programming,testing,poor,parallel computing,system developer,BPA,yes,Web Developer
6485,python,hacking,excellent,Management,Business process analyst,Sales and Marketing,yes,Web Developer
6486,python,testing,excellent,Management,Business process analyst,SAaS services,no,Web Developer
6487,machine learning,hacking,excellent,IOT,cloud computing,product development,yes,Web Developer
6488,machine learning,testing,poor,parallel computing,cloud computing,Product based,yes,Web Developer
6489,machine learning,data science,medium,Computer Architecture,Business process analyst,Web Services,no,Web Developer
6490,information security,database security,excellent,data engineering,cloud computing,Sales and Marketing,no,Web Developer
6491,app development,game development,excellent,networks,Business process analyst,Sales and Marketing,yes,Web Developer
6492,shell programming,system designing,excellent,parallel computing,system developer,BPA,yes,Web Developer
6493,information security,web technologies,excellent,data engineering,testing,Product based,yes,Web Developer
6494,distro making,system designing,medium,data engineering,developer,Sales and Marketing,no,Web Developer
6495,app development,testing,medium,IOT,developer,Product based,no,Web Developer
6496,r programming,game development,excellent,programming,security,Cloud Services,yes,Web Developer
6497,machine learning,data science,poor,networks,system developer,Cloud Services,yes,Web Developer
6498,information security,testing,excellent,data engineering,cloud computing,Testing and Maintainance Services,no,Web Developer
6499,full stack,data science,poor,Computer Architecture,system developer,Product based,yes,Web Developer
6500,machine learning,data science,poor,Management,cloud computing,Service Based,no,Web Developer
6501,distro making,data science,poor,Software Engineering,developer,Finance,yes,Web Developer
6502,machine learning,testing,medium,cloud computing,testing,SAaS services,no,Web Developer
6503,machine learning,testing,excellent,parallel computing,developer,BPA,no,Web Developer
6504,machine learning,database security,excellent,data engineering,cloud computing,Service Based,yes,Web Developer
6505,machine learning,data science,medium,Computer Architecture,security,Web Services,no,Web Developer
6506,python,system designing,medium,IOT,testing,Service Based,no,Web Developer
6507,hadoop,cloud computing,excellent,cloud computing,Business process analyst,Service Based,yes,Web Developer
6508,information security,web technologies,poor,Management,developer,Service Based,no,Web Developer
6509,information security,data science,excellent,programming,system developer,product development,yes,Web Developer
6510,distro making,web technologies,medium,Computer Architecture,Business process analyst,BPA,no,Web Developer
6511,r programming,system designing,excellent,networks,Business process analyst,Service Based,no,Web Developer
6512,shell programming,data science,medium,programming,cloud computing,Web Services,no,Web Developer
6513,distro making,cloud computing,medium,IOT,testing,SAaS services,no,Web Developer
6514,app development,testing,medium,Computer Architecture,developer,Cloud Services,no,Web Developer
6515,information security,data science,medium,Computer Architecture,developer,Sales and Marketing,yes,Web Developer
6516,full stack,game development,medium,hacking,system developer,Finance,no,Web Developer
6517,information security,cloud computing,excellent,programming,system developer,BPA,no,Web Developer
6518,hadoop,system designing,excellent,Management,system developer,Service Based,no,Web Developer
6519,shell programming,game development,medium,Management,cloud computing,Service Based,no,Web Developer
6520,distro making,hacking,poor,programming,testing,SAaS services,yes,Web Developer
6521,full stack,testing,excellent,cloud computing,Business process analyst,Web Services,no,Web Developer
6522,information security,game development,poor,IOT,security,Product based,yes,Web Developer
6523,information security,data science,medium,data engineering,developer,BPA,yes,Web Developer
6524,full stack,database security,poor,cloud computing,testing,Service Based,no,Web Developer
6525,full stack,web technologies,medium,Software Engineering,testing,product development,no,Web Developer
6526,information security,hacking,excellent,networks,security,Service Based,yes,Web Developer
6527,app development,hacking,poor,programming,testing,Testing and Maintainance Services,yes,Web Developer
6528,r programming,testing,medium,cloud computing,cloud computing,Cloud Services,no,Web Developer
6529,app development,game development,excellent,programming,system developer,BPA,yes,Web Developer
6530,python,testing,medium,data engineering,system developer,Service Based,no,Web Developer
6531,shell programming,database security,medium,data engineering,system developer,product development,no,Web Developer
6532,app development,testing,medium,Management,testing,BPA,yes,Web Developer
6533,hadoop,web technologies,poor,IOT,Business process analyst,Cloud Services,no,Web Developer
6534,r programming,web technologies,poor,cloud computing,cloud computing,BPA,yes,Web Developer
6535,machine learning,system designing,poor,data engineering,security,product development,yes,Web Developer
6536,hadoop,cloud computing,poor,IOT,system developer,product development,no,Web Developer
6537,information security,system designing,medium,hacking,cloud computing,SAaS services,yes,Web Developer
6538,shell programming,data science,medium,Software Engineering,security,Product based,yes,Web Developer
6539,shell programming,game development,medium,parallel computing,security,Cloud Services,yes,Web Developer
6540,information security,hacking,medium,IOT,security,Web Services,no,Web Developer
6541,distro making,system designing,excellent,parallel computing,security,Service Based,no,Web Developer
6542,app development,cloud computing,poor,hacking,Business process analyst,Testing and Maintainance Services,no,Web Developer
6543,python,data science,medium,programming,cloud computing,Service Based,no,Web Developer
6544,full stack,testing,medium,programming,developer,Service Based,no,Web Developer
6545,r programming,game development,poor,IOT,testing,Finance,yes,Web Developer
6546,r programming,database security,excellent,Computer Architecture,testing,product development,yes,Web Developer
6547,full stack,data science,poor,programming,system developer,Cloud Services,yes,Web Developer
6548,machine learning,cloud computing,medium,hacking,developer,Product based,yes,Web Developer
6549,shell programming,web technologies,medium,data engineering,security,SAaS services,yes,Web Developer
6550,shell programming,web technologies,medium,cloud computing,cloud computing,SAaS services,no,Web Developer
6551,machine learning,web technologies,excellent,data engineering,cloud computing,Web Services,no,Web Developer
6552,python,web technologies,poor,data engineering,developer,Product based,yes,Web Developer
6553,app development,database security,excellent,cloud computing,developer,BPA,yes,Web Developer
6554,shell programming,game development,excellent,cloud computing,cloud computing,BPA,yes,Web Developer
6555,r programming,game development,poor,hacking,security,Finance,no,Web Developer
6556,information security,web technologies,poor,parallel computing,testing,Product based,no,Web Developer
6557,app development,testing,medium,Computer Architecture,system developer,Product based,yes,Web Developer
6558,full stack,testing,excellent,IOT,testing,BPA,yes,Web Developer
6559,distro making,database security,excellent,hacking,system developer,Product based,no,Web Developer
6560,machine learning,cloud computing,excellent,programming,Business process analyst,product development,no,Web Developer
6561,python,cloud computing,medium,networks,security,Web Services,yes,Web Developer
6562,shell programming,hacking,medium,programming,testing,Service Based,no,Web Developer
6563,shell programming,data science,poor,data engineering,system developer,Finance,no,Web Developer
6564,distro making,database security,poor,Software Engineering,system developer,product development,no,Web Developer
6565,app development,database security,poor,Software Engineering,security,SAaS services,no,Web Developer
6566,information security,database security,excellent,programming,developer,Web Services,no,Web Developer
6567,information security,game development,excellent,Management,Business process analyst,Finance,yes,Web Developer
6568,python,data science,excellent,programming,Business process analyst,Product based,yes,Web Developer
6569,r programming,game development,poor,IOT,Business process analyst,Sales and Marketing,no,Web Developer
6570,machine learning,testing,excellent,Management,developer,BPA,yes,Web Developer
6571,r programming,cloud computing,medium,IOT,cloud computing,BPA,yes,Web Developer
6572,distro making,database security,medium,cloud computing,developer,Finance,yes,Web Developer
6573,app development,web technologies,excellent,networks,developer,Cloud Services,no,Web Developer
6574,hadoop,cloud computing,medium,Management,testing,Finance,no,Web Developer
6575,shell programming,database security,poor,IOT,Business process analyst,Product based,yes,Web Developer
6576,information security,testing,medium,Software Engineering,system developer,SAaS services,no,Web Developer
6577,full stack,data science,medium,programming,system developer,Cloud Services,yes,Web Developer
6578,python,hacking,medium,programming,developer,Web Services,no,Web Developer
6579,full stack,hacking,poor,Computer Architecture,security,Service Based,yes,Web Developer
6580,full stack,system designing,medium,Software Engineering,system developer,SAaS services,yes,Web Developer
6581,shell programming,cloud computing,medium,Software Engineering,system developer,product development,yes,Web Developer
6582,distro making,system designing,poor,hacking,developer,Testing and Maintainance Services,no,Web Developer
6583,r programming,game development,excellent,hacking,security,Cloud Services,no,Web Developer
6584,full stack,web technologies,medium,Management,testing,Product based,no,Web Developer
6585,distro making,web technologies,poor,parallel computing,Business process analyst,Product based,yes,Web Developer
6586,hadoop,game development,medium,cloud computing,testing,BPA,yes,Web Developer
6587,information security,system designing,medium,programming,system developer,Web Services,no,Web Developer
6588,python,database security,excellent,programming,security,Testing and Maintainance Services,no,Web Developer
6589,shell programming,hacking,poor,hacking,testing,product development,no,Web Developer
6590,full stack,hacking,excellent,parallel computing,developer,Cloud Services,yes,Web Developer
6591,python,web technologies,poor,IOT,testing,Product based,no,Web Developer
6592,information security,web technologies,poor,IOT,developer,Cloud Services,yes,Web Developer
6593,hadoop,cloud computing,excellent,cloud computing,security,product development,no,Web Developer
6594,information security,database security,excellent,Computer Architecture,Business process analyst,Testing and Maintainance Services,yes,Web Developer
6595,machine learning,system designing,poor,Computer Architecture,Business process analyst,Testing and Maintainance Services,yes,Web Developer
6596,hadoop,web technologies,poor,parallel computing,Business process analyst,Finance,yes,Web Developer
6597,distro making,hacking,medium,Software Engineering,security,product development,yes,Web Developer
6598,information security,system designing,poor,Software Engineering,testing,Web Services,no,Web Developer
6599,information security,testing,medium,Computer Architecture,developer,Testing and Maintainance Services,no,Web Developer
6600,information security,database security,medium,hacking,system developer,Testing and Maintainance Services,yes,Web Developer
6601,app development,cloud computing,medium,parallel computing,cloud computing,Testing and Maintainance Services,no,Web Developer
6602,r programming,cloud computing,excellent,Computer Architecture,cloud computing,Finance,yes,Web Developer
6603,app development,database security,medium,IOT,testing,Service Based,no,Web Developer
6604,distro making,testing,poor,programming,testing,Web Services,no,Web Developer
6605,full stack,system designing,poor,cloud computing,developer,Finance,yes,Web Developer
6606,full stack,web technologies,excellent,IOT,developer,SAaS services,yes,Web Developer
6607,full stack,web technologies,medium,networks,cloud computing,product development,no,Web Developer
6608,distro making,testing,excellent,networks,Business process analyst,product development,no,Web Developer
6609,python,game development,poor,Software Engineering,developer,SAaS services,yes,Web Developer
6610,information security,data science,medium,cloud computing,system developer,Web Services,yes,Web Developer
6611,hadoop,database security,poor,hacking,cloud computing,BPA,no,Web Developer
6612,python,database security,medium,parallel computing,security,Testing and Maintainance Services,yes,Web Developer
6613,app development,cloud computing,poor,Management,system developer,Sales and Marketing,yes,Web Developer
6614,app development,web technologies,poor,programming,system developer,Finance,yes,Web Developer
6615,distro making,cloud computing,poor,hacking,system developer,Web Services,yes,Web Developer
6616,information security,system designing,excellent,hacking,Business process analyst,BPA,yes,Web Developer
6617,full stack,system designing,poor,hacking,testing,Testing and Maintainance Services,no,Web Developer
6618,shell programming,data science,excellent,hacking,cloud computing,Testing and Maintainance Services,yes,Web Developer
6619,hadoop,system designing,excellent,Computer Architecture,system developer,Service Based,yes,Web Developer
6620,app development,system designing,poor,cloud computing,Business process analyst,Finance,yes,Web Developer
6621,machine learning,data science,medium,programming,security,BPA,no,Web Developer
6622,shell programming,web technologies,medium,data engineering,developer,Finance,no,Web Developer
6623,distro making,testing,excellent,networks,testing,Web Services,yes,Web Developer
6624,distro making,game development,medium,cloud computing,testing,Sales and Marketing,no,Web Developer
6625,shell programming,game development,medium,networks,cloud computing,Web Services,no,Web Developer
6626,python,cloud computing,poor,Management,security,Web Services,yes,Web Developer
6627,machine learning,cloud computing,poor,cloud computing,system developer,Service Based,no,Web Developer
6628,machine learning,database security,poor,data engineering,security,product development,yes,Web Developer
6629,shell programming,data science,medium,Software Engineering,developer,product development,no,Web Developer
6630,shell programming,cloud computing,poor,hacking,Business process analyst,Web Services,yes,Web Developer
6631,full stack,data science,poor,IOT,system developer,Cloud Services,no,Web Developer
6632,r programming,hacking,poor,networks,system developer,Finance,yes,Web Developer
6633,full stack,testing,excellent,Computer Architecture,Business process analyst,Product based,no,Web Developer
6634,full stack,system designing,excellent,Management,cloud computing,SAaS services,yes,Web Developer
6635,python,testing,medium,cloud computing,security,BPA,no,Web Developer
6636,information security,database security,poor,data engineering,developer,Cloud Services,yes,Web Developer
6637,python,cloud computing,medium,Management,developer,Sales and Marketing,yes,Web Developer
6638,machine learning,data science,poor,Software Engineering,system developer,Web Services,no,Web Developer
6639,shell programming,hacking,medium,parallel computing,system developer,Finance,yes,Web Developer
6640,information security,database security,medium,IOT,testing,SAaS services,yes,Web Developer
6641,full stack,database security,excellent,hacking,security,product development,yes,Web Developer
6642,shell programming,data science,poor,IOT,security,Cloud Services,no,Web Developer
6643,app development,web technologies,poor,networks,cloud computing,Finance,yes,Web Developer
6644,hadoop,database security,poor,hacking,cloud computing,product development,no,Web Developer
6645,machine learning,web technologies,excellent,Management,developer,Finance,no,Web Developer
6646,app development,testing,excellent,Software Engineering,system developer,Sales and Marketing,no,Web Developer
6647,information security,testing,medium,IOT,security,Testing and Maintainance Services,yes,Web Developer
6648,r programming,database security,excellent,programming,testing,Testing and Maintainance Services,no,Web Developer
6649,full stack,testing,medium,Computer Architecture,developer,Testing and Maintainance Services,no,Web Developer
6650,hadoop,hacking,medium,programming,security,Finance,yes,Web Developer
6651,hadoop,system designing,poor,cloud computing,system developer,Sales and Marketing,yes,Web Developer
6652,python,system designing,poor,networks,Business process analyst,Cloud Services,yes,Web Developer
6653,full stack,web technologies,poor,hacking,Business process analyst,Sales and Marketing,yes,Web Developer
6654,r programming,web technologies,medium,Software Engineering,developer,Finance,no,Web Developer
6655,machine learning,database security,poor,programming,system developer,Finance,yes,Web Developer
6656,shell programming,game development,medium,data engineering,cloud computing,Cloud Services,yes,Web Developer
6657,full stack,database security,poor,Software Engineering,cloud computing,Web Services,no,Web Developer
6658,app development,database security,medium,Software Engineering,system developer,Cloud Services,yes,Web Developer
6659,hadoop,system designing,excellent,Software Engineering,developer,BPA,yes,Web Developer
6660,information security,database security,excellent,IOT,security,Finance,yes,Web Developer
6661,hadoop,web technologies,poor,networks,security,product development,no,Web Developer
6662,full stack,database security,excellent,Software Engineering,testing,Cloud Services,no,Web Developer
6663,app development,system designing,excellent,Management,Business process analyst,Finance,no,Web Developer
6664,machine learning,testing,poor,Software Engineering,testing,Sales and Marketing,no,Web Developer
6665,hadoop,data science,poor,Software Engineering,cloud computing,Cloud Services,yes,Web Developer
6666,python,system designing,poor,programming,testing,SAaS services,no,Web Developer
6667,machine learning,testing,excellent,programming,developer,Testing and Maintainance Services,yes,Web Developer
6668,python,system designing,excellent,cloud computing,security,Testing and Maintainance Services,yes,Web Developer
6669,distro making,game development,poor,parallel computing,security,Testing and Maintainance Services,no,Web Developer
6670,information security,database security,excellent,networks,testing,SAaS services,yes,Web Developer
6671,python,database security,medium,Software Engineering,developer,product development,no,Web Developer
6672,r programming,data science,excellent,hacking,security,Product based,no,Web Developer
6673,r programming,testing,excellent,hacking,cloud computing,Testing and Maintainance Services,no,Web Developer
6674,full stack,database security,medium,hacking,cloud computing,Finance,no,Web Developer
6675,python,data science,medium,cloud computing,system developer,SAaS services,yes,Web Developer
6676,full stack,testing,poor,data engineering,security,Sales and Marketing,no,Web Developer
6677,python,system designing,poor,Computer Architecture,testing,Web Services,yes,Web Developer
6678,distro making,cloud computing,excellent,Software Engineering,security,Product based,yes,Web Developer
6679,machine learning,system designing,poor,cloud computing,testing,Service Based,no,Web Developer
6680,r programming,data science,excellent,Computer Architecture,Business process analyst,BPA,no,Web Developer
6681,distro making,hacking,poor,data engineering,security,Testing and Maintainance Services,no,Web Developer
6682,python,cloud computing,excellent,cloud computing,system developer,Finance,no,Web Developer
6683,app development,system designing,poor,cloud computing,Business process analyst,SAaS services,no,Web Developer
6684,shell programming,database security,medium,Software Engineering,developer,Service Based,yes,Web Developer
6685,distro making,testing,excellent,IOT,developer,SAaS services,yes,Web Developer
6686,python,cloud computing,poor,Computer Architecture,cloud computing,Testing and Maintainance Services,no,Web Developer
6687,full stack,cloud computing,medium,Software Engineering,Business process analyst,SAaS services,no,Web Developer
6688,machine learning,hacking,excellent,cloud computing,cloud computing,Web Services,no,Web Developer
6689,shell programming,testing,poor,IOT,developer,BPA,no,Web Developer
6690,full stack,web technologies,medium,data engineering,security,Service Based,yes,Web Developer
6691,full stack,web technologies,excellent,cloud computing,Business process analyst,Finance,yes,Web Developer
6692,hadoop,cloud computing,medium,programming,testing,Cloud Services,no,Web Developer
6693,distro making,game development,excellent,cloud computing,Business process analyst,BPA,no,Web Developer
6694,shell programming,web technologies,poor,Computer Architecture,cloud computing,Service Based,yes,Web Developer
6695,full stack,game development,excellent,Computer Architecture,cloud computing,BPA,no,Web Developer
6696,full stack,database security,poor,Software Engineering,security,Web Services,yes,Web Developer
6697,machine learning,testing,poor,programming,testing,SAaS services,yes,Web Developer
6698,python,data science,medium,hacking,system developer,BPA,yes,Web Developer
6699,shell programming,database security,medium,Software Engineering,security,Service Based,no,Web Developer
6700,distro making,hacking,poor,cloud computing,developer,Sales and Marketing,yes,Web Developer
6701,r programming,hacking,excellent,Computer Architecture,system developer,Cloud Services,no,Web Developer
6702,full stack,testing,excellent,hacking,security,BPA,no,Web Developer
6703,shell programming,data science,poor,IOT,testing,Service Based,yes,Web Developer
6704,information security,system designing,excellent,cloud computing,security,product development,no,Web Developer
6705,information security,database security,poor,networks,developer,Cloud Services,no,Web Developer
6706,full stack,cloud computing,excellent,parallel computing,system developer,Product based,yes,Web Developer
6707,python,game development,excellent,Software Engineering,cloud computing,Testing and Maintainance Services,no,Web Developer
6708,r programming,testing,poor,Management,Business process analyst,SAaS services,yes,Web Developer
6709,python,database security,excellent,programming,system developer,Cloud Services,no,Web Developer
6710,hadoop,game development,medium,Management,system developer,BPA,no,Web Developer
